rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,91.07383497026753,100.0,36.38992788886888,100.0,Technology,1.963,25.4,93.3,0.89,+39.6% 1mo; +4.7% analyst upside; EPS +217%; Rev +34%
2,NVDA,66.05134258670704,47.33587367979991,85.40378535538402,74.22308873740471,Technology,2.335,17.9,92.8,0.82,+11.8% 1mo; +33.2% analyst upside; EPS +96%; Rev +73%
3,ORCL,59.34739471016666,70.34153785096842,80.34948853479634,39.32226753788638,Technology,1.597,22.0,77.6,1.19,+14.9% 1mo; +39.3% analyst upside; EPS +24%; Rev +22%
4,AVGO,57.09637315779582,79.11953003788685,65.9820248337863,43.46515607100601,Technology,1.253,22.4,93.9,0.93,+29.0% 1mo; +17.0% analyst upside; EPS +32%; Rev +30%
5,MSFT,54.7358690478987,47.224907804735885,89.62232888274028,48.5477075989493,Technology,1.107,22.4,92.9,0.89,+7.9% 1mo; +37.1% analyst upside; EPS +60%; Rev +17%
6,BLK,48.29202662855048,41.030568819454466,59.7479662660232,47.32839353575366,Financial Services,1.493,17.4,78.6,1.01,+8.7% 1mo; +19.0% analyst upside; EPS +46%; Rev +27%
7,META,46.529529710245804,49.86974648601573,72.06465102243065,35.86346172610935,Communication Services,1.309,19.3,96.5,0.93,+11.8% 1mo; +24.3% analyst upside; EPS +11%; Rev +24%
8,AMGN,45.98898283993478,23.44860519566989,3.7153699061321435,62.446882813268715,Healthcare,0.465,15.3,56.5,0.92,+1.1% 1mo; -0.9% analyst upside; EPS +112%; Rev +9%
9,LLY,45.130547979111356,21.26367862243186,69.10677422646475,52.82263930262279,Healthcare,0.504,22.0,61.8,0.81,+1.0% 1mo; +30.5% analyst upside; EPS +51%; Rev +43%
10,GOOGL,44.86963893362663,46.86981994211553,54.94356279072458,40.2114878408622,Communication Services,1.128,25.4,93.7,0.71,+11.0% 1mo; +10.1% analyst upside; EPS +31%; Rev +18%
11,INTU,44.82376911076021,12.728877675464828,100.0,45.77673390750604,Technology,1.213,14.8,42.6,0.94,-11.7% 1mo; +52.4% analyst upside; EPS +48%; Rev +17%
12,TMO,44.26535786450203,49.38831513171455,72.18906485365291,31.100042835014325,Healthcare,0.972,19.4,73.8,0.76,+13.3% 1mo; +23.1% analyst upside; EPS +9%; Rev +7%
13,BAC,43.84075797032442,47.95069129458159,60.1938068715487,37.26928603547026,Financial Services,1.237,10.7,89.0,0.88,+15.1% 1mo; +15.6% analyst upside; EPS +23%; Rev +12%
14,AMZN,42.557899250690404,57.43829390712493,59.861090089828096,31.228224159506325,Consumer Cyclical,1.383,26.6,97.5,0.93,+19.4% 1mo; +12.2% analyst upside; EPS +5%; Rev +14%
15,MA,42.49579890209033,35.873613782501515,74.63200990441958,38.122063517370805,Financial Services,0.831,23.0,74.2,0.83,+6.9% 1mo; +25.6% analyst upside; EPS +24%; Rev +18%
16,SPGI,41.731682315116146,33.071258013556644,71.87479038346251,38.32308388113713,Financial Services,1.204,20.1,68.6,0.66,+3.7% 1mo; +20.7% analyst upside; EPS +32%; Rev +9%
17,V,40.3324940002693,34.04317241117759,73.10437074080079,35.351144732084435,Financial Services,0.799,21.8,76.0,0.76,+6.0% 1mo; +24.1% analyst upside; EPS +17%; Rev +15%
18,NFLX,40.24675726108142,11.69727741902884,52.34536905400754,56.17905858516284,Communication Services,1.669,25.3,57.1,0.95,+2.8% 1mo; +17.7% analyst upside; EPS +86%; Rev +16%
19,CSCO,40.03581412735865,45.47533067445153,29.066205855900485,38.31431992928193,Technology,0.819,19.1,71.2,0.72,+11.7% 1mo; +3.3% analyst upside; EPS +31%; Rev +10%
20,CRM,39.57903785647246,19.91982311117988,87.53736845900049,35.52303106969645,Technology,1.288,12.2,53.2,1.06,-6.0% 1mo; +47.6% analyst upside; EPS +18%; Rev +12%
21,AAPL,39.16578885974963,38.51143264174105,37.206228481558924,35.69645339077852,Technology,1.109,28.9,73.4,0.93,+8.1% 1mo; +10.1% analyst upside; EPS +18%; Rev +16%
22,GS,38.67609973942399,48.5040919243264,0.0,37.847949252784154,Financial Services,1.311,14.2,83.2,0.94,+15.0% 1mo; +0.8% analyst upside; EPS +24%; Rev +14%
23,ACN,38.57128843257674,34.36321355322558,54.88240261116187,30.251557465111077,Technology,1.236,13.3,56.4,0.76,+2.1% 1mo; +26.7% analyst upside; EPS +4%; Rev +8%
24,TXN,38.25019071531929,63.00781286832445,3.5757565540665386,27.88312498214062,Technology,0.994,29.1,85.4,0.74,+20.5% 1mo; -2.6% analyst upside; EPS -3%; Rev +10%
25,COST,37.706198875165306,23.688798266969904,30.29976232761578,45.11440285416196,Consumer Defensive,0.978,44.5,55.7,0.98,+2.0% 1mo; +7.2% analyst upside; EPS +46%; Rev +22%
26,ISRG,36.22244504537095,22.042596756234172,56.65439654406762,35.80794310482299,Healthcare,1.679,41.1,59.7,0.98,-1.8% 1mo; +26.1% analyst upside; EPS +17%; Rev +19%
27,DHR,35.9573458306488,25.555344999302537,78.21728043615475,31.287816951201915,Healthcare,0.986,21.4,67.3,0.81,+1.9% 1mo; +31.5% analyst upside; EPS +12%; Rev +5%
28,JPM,34.64841431080828,33.628644564628836,25.499606631872208,35.352038229168876,Financial Services,1.043,13.2,80.8,0.83,+8.4% 1mo; +9.1% analyst upside; EPS +17%; Rev +13%
29,UPS,33.67720923364001,41.61352126623869,15.24279721282365,27.407957336226,Industrials,1.098,13.4,89.8,0.73,+9.9% 1mo; +5.8% analyst upside; EPS +5%; Rev -3%
30,PEP,33.33808771682541,23.868994525184984,12.162185951253978,37.088007634146436,Consumer Defensive,0.41,17.3,59.9,0.82,+2.7% 1mo; +8.8% analyst upside; EPS +28%; Rev +8%
31,ABBV,33.09957084096102,21.525578802567015,51.70279654439184,29.53425899074408,Healthcare,0.364,12.9,51.0,0.89,+0.8% 1mo; +19.5% analyst upside; Rev +10%
32,NEE,32.43119672182359,18.970717338861714,30.38935903738718,39.54507991244596,Utilities,0.733,21.1,53.6,0.73,+1.1% 1mo; +3.6% analyst upside; EPS +26%; Rev +21%
33,CAT,32.03358140713971,46.301277288777655,10.611300826069716,27.431096814284338,Industrials,1.519,28.6,71.6,0.77,+14.6% 1mo; -5.1% analyst upside; EPS -11%; Rev +18%
34,HD,30.272445278187995,34.754356951085626,41.213132980826686,21.112305642143635,Consumer Cyclical,1.085,21.4,68.5,0.88,+5.6% 1mo; +16.8% analyst upside; EPS -14%; Rev -4%
35,WFC,30.265762994010235,26.208446349912652,44.88185485616743,33.28853515309098,Financial Services,1.056,10.3,61.0,1.0,+6.9% 1mo; +18.1% analyst upside; EPS +15%; Rev +6%
36,MCD,29.949160168265134,19.74317498186378,27.929798006453066,31.32396411768455,Consumer Cyclical,0.532,21.7,57.7,0.85,-1.4% 1mo; +10.7% analyst upside; EPS +8%; Rev +10%
37,WMT,28.830739998198005,29.28224116046137,52.297501825928485,21.745062663988392,Consumer Defensive,0.661,38.8,60.1,0.74,+4.7% 1mo; +7.0% analyst upside; EPS -19%; Rev +6%
38,PG,27.981050123944676,22.525559823221737,33.324694537099234,25.17719442548772,Consumer Defensive,0.403,20.3,60.7,0.74,+0.1% 1mo; +11.7% analyst upside; EPS -5%; Rev +2%
39,KO,27.67297976768307,16.954483634851584,47.658991249125606,28.03215616621646,Consumer Defensive,0.361,21.9,50.2,0.73,-0.3% 1mo; +10.5% analyst upside; EPS +4%; Rev +2%
40,RTX,26.525805559109383,10.107642100546844,33.24200892858809,31.83747240363087,Industrials,0.428,26.1,60.9,0.6,-4.0% 1mo; +10.0% analyst upside; EPS +8%; Rev +12%
41,MRK,26.345690639447366,26.130426291554876,35.67860190574342,22.54712501031658,Healthcare,0.275,12.2,48.7,0.87,+4.0% 1mo; +9.0% analyst upside; EPS -19%; Rev +5%
